"",Symbol,Date,Year,Low,High,Open,Close,Volume
459,SRTRANSFIN,2021-05-03,2021,1275.65,1334.40,1334.0,1298.85,2864081
460,SRTRANSFIN,2021-05-04,2021,1285.55,1349.20,1325.0,1291.20,2752562
461,SRTRANSFIN,2021-05-05,2021,1272.10,1310.00,1310.0,1287.05,2467446
462,SRTRANSFIN,2021-05-06,2021,1273.00,1317.00,1296.0,1311.40,2363334
463,SRTRANSFIN,2021-05-07,2021,1292.50,1323.00,1315.0,1297.65,1384163
464,SRTRANSFIN,2021-05-10,2021,1296.35,1341.00,1299.0,1332.75,1818551
465,SRTRANSFIN,2021-05-11,2021,1312.40,1348.50,1324.0,1342.50,1458682
466,SRTRANSFIN,2021-05-12,2021,1328.65,1356.00,1345.0,1343.95,1526477
467,SRTRANSFIN,2021-05-14,2021,1324.00,1372.00,1346.0,1326.50,1940524
468,SRTRANSFIN,2021-05-17,2021,1320.25,1398.00,1329.5,1389.05,1910005
469,SRTRANSFIN,2021-05-18,2021,1405.00,1465.00,1405.0,1450.20,3118851
470,SRTRANSFIN,2021-05-19,2021,1405.00,1459.80,1438.0,1411.35,1380208
471,SRTRANSFIN,2021-05-20,2021,1396.00,1428.60,1415.0,1415.95,1224729
472,SRTRANSFIN,2021-05-21,2021,1420.05,1488.00,1433.0,1478.75,2251783
473,SRTRANSFIN,2021-05-24,2021,1447.05,1483.00,1476.0,1459.15,1297590
474,SRTRANSFIN,2021-05-25,2021,1427.20,1476.60,1465.0,1434.30,1136002
475,SRTRANSFIN,2021-05-26,2021,1428.50,1455.75,1438.00,1432.75,1226383
476,SRTRANSFIN,2021-05-27,2021,1415.00,1449.70,1435.40,1441.45,1729670
477,SRTRANSFIN,2021-05-28,2021,1446.00,1514.40,1447.45,1455.05,3404190
478,SRTRANSFIN,2021-05-31,2021,1419.00,1466.00,1466.00,1429.80,1526873
479,SRTRANSFIN,2021-06-01,2021,1388.35,1435.20,1435.00,1411.30,1864587
480,SRTRANSFIN,2021-06-02,2021,1390.00,1436.45,1400.00,1430.05,1380124
481,SRTRANSFIN,2021-06-03,2021,1410.00,1446.00,1435.00,1417.70,1043999
482,SRTRANSFIN,2021-06-04,2021,1407.75,1435.00,1425.10,1423.20,1262714
483,SRTRANSFIN,2021-06-07,2021,1411.75,1514.45,1422.50,1487.45,4653545
484,SRTRANSFIN,2021-06-08,2021,1471.55,1529.60,1506.00,1489.10,4073414
485,SRTRANSFIN,2021-06-08,2021,1471.55,1529.60,1506.00,1489.10,4073414
486,SRTRANSFIN,2021-06-09,2021,1424.05,1489.00,1484.90,1437.05,3244654
487,SRTRANSFIN,2021-06-10,2021,1433.15,1474.90,1440.00,1470.00,1998330
488,SRTRANSFIN,2021-06-11,2021,1460.00,1494.00,1472.00,1475.35,1758173
489,SRTRANSFIN,2021-06-14,2021,1427.05,1483.90,1470.00,1477.00,1722561
490,SRTRANSFIN,2021-06-15,2021,1442.50,1475.00,1475.00,1450.65,2355758
491,SRTRANSFIN,2021-06-16,2021,1426.35,1464.00,1456.50,1433.85,1965538
492,SRTRANSFIN,2021-06-17,2021,1393.00,1437.00,1402.00,1411.40,2471242
493,SRTRANSFIN,2021-06-18,2021,1344.00,1423.95,1423.95,1380.00,2955858
494,SRTRANSFIN,2021-06-21,2021,1338.35,1389.90,1355.00,1382.90,1483205
495,SRTRANSFIN,2021-06-22,2021,1361.00,1401.95,1390.00,1371.70,1583514
496,SRTRANSFIN,2021-06-23,2021,1361.15,1386.00,1374.90,1366.80,984983
497,SRTRANSFIN,2021-06-24,2021,1353.40,1376.00,1371.00,1363.90,933525
498,SRTRANSFIN,2021-06-25,2021,1355.65,1378.00,1363.90,1368.10,1303376
499,SRTRANSFIN,2021-06-28,2021,1362.50,1389.00,1381.95,1372.55,820564
500,SRTRANSFIN,2021-06-29,2021,1348.20,1396.00,1372.40,1357.85,1175000
501,SRTRANSFIN,2021-06-30,2021,1336.95,1372.80,1365.00,1342.65,1393713
502,SRTRANSFIN,2021-07-01,2021,1330.00,1365.25,1349.70,1355.60,1088815
503,SRTRANSFIN,2021-07-02,2021,1346.00,1372.60,1359.50,1362.20,845710
504,SRTRANSFIN,2021-07-05,2021,1362.50,1378.00,1365.00,1374.55,582247
505,SRTRANSFIN,2021-07-06,2021,1375.50,1434.80,1375.50,1413.65,2451004
506,SRTRANSFIN,2021-07-07,2021,1412.25,1450.00,1419.95,1444.35,1582191
507,SRTRANSFIN,2021-07-08,2021,1422.20,1447.10,1445.35,1431.55,1235327
508,SRTRANSFIN,2021-07-09,2021,1418.00,1460.00,1429.10,1455.70,1127452
509,SRTRANSFIN,2021-07-12,2021,1447.00,1467.65,1463.90,1452.40,866198
510,SRTRANSFIN,2021-07-13,2021,1423.05,1465.00,1465.00,1431.80,1105808
511,SRTRANSFIN,2021-07-14,2021,1415.00,1436.85,1435.00,1420.90,1295492
512,SRTRANSFIN,2021-07-15,2021,1416.25,1465.00,1425.00,1457.90,1464594
513,SRTRANSFIN,2021-07-16,2021,1444.00,1470.50,1460.00,1449.35,611746
514,SRTRANSFIN,2021-07-19,2021,1381.90,1440.00,1425.00,1389.85,1704670
515,SRTRANSFIN,2021-07-20,2021,1351.00,1409.90,1398.00,1395.90,1270061
516,SRTRANSFIN,2021-07-22,2021,1370.00,1402.55,1398.90,1395.30,1749604
517,SRTRANSFIN,2021-07-23,2021,1369.00,1406.95,1397.00,1385.60,1055206
518,SRTRANSFIN,2021-07-26,2021,1325.75,1405.00,1384.80,1370.40,971604
519,SRTRANSFIN,2021-07-27,2021,1352.45,1412.00,1379.10,1365.70,1630050
520,SRTRANSFIN,2021-07-28,2021,1350.10,1378.00,1375.50,1372.95,1333534
521,SRTRANSFIN,2021-07-29,2021,1354.00,1383.50,1364.00,1371.00,777687
522,SRTRANSFIN,2021-07-30,2021,1360.10,1410.10,1378.00,1390.10,1426400
523,SRTRANSFIN,2021-08-02,2021,1335.70,1430.00,1396.00,1375.85,3387496
524,SRTRANSFIN,2021-08-03,2021,1333.00,1388.00,1377.60,1338.35,2170573
525,SRTRANSFIN,2021-08-04,2021,1315.10,1358.70,1350.00,1321.50,2419783
526,SRTRANSFIN,2021-08-05,2021,1310.20,1337.75,1322.20,1331.95,1488786
527,SRTRANSFIN,2021-08-06,2021,1312.45,1344.10,1333.00,1315.95,1240399
528,SRTRANSFIN,2021-08-09,2021,1295.00,1320.40,1320.00,1302.75,1088880
529,SRTRANSFIN,2021-08-10,2021,1270.35,1312.15,1312.15,1275.50,1331299
530,SRTRANSFIN,2021-08-11,2021,1243.80,1297.95,1277.00,1295.00,1555492
531,SRTRANSFIN,2021-08-12,2021,1287.25,1319.50,1301.50,1309.40,828802
532,SRTRANSFIN,2021-08-13,2021,1288.30,1314.80,1311.00,1295.05,878734
533,SRTRANSFIN,2021-08-16,2021,1281.85,1305.00,1291.00,1296.65,843090
534,SRTRANSFIN,2021-08-17,2021,1265.00,1297.00,1296.65,1280.35,1037261
535,SRTRANSFIN,2021-08-18,2021,1276.45,1304.85,1288.00,1293.85,999601
536,SRTRANSFIN,2021-08-20,2021,1250.00,1286.00,1280.00,1254.50,872490
537,SRTRANSFIN,2021-08-23,2021,1216.00,1275.40,1275.40,1245.70,1038015
538,SRTRANSFIN,2021-08-24,2021,1231.30,1282.00,1240.00,1279.55,960745
539,SRTRANSFIN,2021-08-25,2021,1259.40,1295.25,1281.00,1267.35,1030511
540,SRTRANSFIN,2021-08-26,2021,1256.95,1297.15,1276.00,1265.45,1313532
541,SRTRANSFIN,2021-08-27,2021,1257.65,1291.00,1269.95,1281.40,786002
542,SRTRANSFIN,2021-08-27,2021,1257.65,1291.00,1269.95,1281.40,786002
543,SRTRANSFIN,2021-08-30,2021,1283.20,1339.25,1294.00,1334.95,1414264
544,SRTRANSFIN,2021-08-31,2021,1320.50,1357.00,1335.00,1352.70,1576383
545,SRTRANSFIN,2021-09-01,2021,1322.70,1355.25,1352.40,1329.90,1235877
546,SRTRANSFIN,2021-09-02,2021,1326.60,1349.00,1332.00,1343.05,763714
547,SRTRANSFIN,2021-09-03,2021,1333.10,1388.60,1349.00,1350.05,1602525
548,SRTRANSFIN,2021-09-06,2021,1340.05,1377.00,1356.00,1346.45,659070
549,SRTRANSFIN,2021-09-07,2021,1326.00,1368.95,1347.50,1344.80,1236341
550,SRTRANSFIN,2021-09-08,2021,1338.35,1381.40,1343.90,1365.05,1709285
551,SRTRANSFIN,2021-09-09,2021,1335.45,1363.00,1363.00,1348.35,758444
552,SRTRANSFIN,2021-09-13,2021,1310.75,1348.35,1346.00,1341.70,725069
553,SRTRANSFIN,2021-09-14,2021,1344.20,1371.00,1348.00,1352.80,670710
554,SRTRANSFIN,2021-09-15,2021,1342.00,1379.35,1354.00,1366.80,1032368
555,SRTRANSFIN,2021-09-16,2021,1363.10,1411.90,1366.80,1406.40,2028564
